Modèle,Nombre de tokens,Durée totale de réponse,Temps pour recevoir le premier token
glm-4.5-air-mlx,512,3.482489824295044,3.4796268939971924
glm-4.5-air-mlx,1k,6.35582709312439,6.352148056030273
glm-4.5-air-mlx,2k,8.20461130142212,8.201600790023804
glm-4.5-air-mlx,4k,11.797853708267212,11.79672384262085
glm-4.5-air-mlx,16k,52.493438959121704,52.489344120025635
glm-4.5-air-mlx,32k,99.93171334266663,99.93009352684021
qwen/qwen3-30b-a3b-2507,512,1.60282301902771,1.5996754169464111
qwen/qwen3-30b-a3b-2507,1k,1.9603385925292969,1.9571733474731445
qwen/qwen3-30b-a3b-2507,2k,2.7002735137939453,2.69522762298584
qwen/qwen3-30b-a3b-2507,4k,2.925685167312622,2.924376964569092
qwen/qwen3-30b-a3b-2507,16k,15.753871202468872,15.752602338790894
